date,plane_type,loc,country,ref,airline,fat,px,cat,phase,cert,meta,cause,notes
1998-11-01,Douglas C-47A-90-DL (DC-3C),near Quetzaltenango,Guatemala,N3FY,Living Water Teaching Ministries,11,27,A1,approach,probable,weather,low visibility,
1998-12-11,Airbus A310-324,Surat Thani,Thailand,HS-TIA,Thai Airways International,101,60,A1,approach,suspected,weather,bad weather,
1999-02-24,Tupolev Tu-154M,Ruian,China,B-2622,China Southwest Airlines,61,49,A1,approach,confirmed,mechanical,mechanical failure,
1999-02-25,Dornier 328-110,Genoa-Cristo,Italy,D-CPRR,Minerva Airlines,4,20,A1,landing,suspected,weather,bad weather,
1999-04-08,DHC-6 Twin Otter 300,near Málaga,Colombia,HK-2760,Aerotaca,5,21,A1,en_route,probable,weather,low visibility,
1999-04-07,Boeing 737-400,near Ceyhan,Turkey,TC-JEP,Turkish Airlines,6,22,A1,en_route,probable,weather,bad weather,
1999-05-08,DHC-6 Twin Otter 300,near Port Vila,Vanuatu,YJ-RV9,Vanair,7,23,A1,en_route,probable,weather,bad weather,
1999-06-01,Douglas Md-82,Little Rock National Airport,USA,N215AA,American Airlines,11,27,A1,landing,confirmed,human_error,pilot & crew error,
1999-06-17,Embraer 110P2 Bandeirante,near Goroka,papua New Guinea,P2-ALX,Airlink,17,31,A1,en_route,suspected,human_error,pilot error,
1999-07-04,Douglas DC-6A,Villavicencio-La Vanguardia Airport,Colombia,HK-1776,LANC Colombia,4,20,A1,landing,confirmed,human_error,pilot & crew error,
1999-07-24,Embraer 110P1 Bandeirante,near Delailasakau,Fiji,DQ-AFN,Air Fiji,17,31,A1,en_route,probable,human_error,pilot error,
1999-08-07,Dornier 228-201,Santo Antão,Cape Verde,D4-CBC,TACV Cabo Verde Airlines,18,31,A1,en_route,suspected,weather,low visibility,
1999-08-12,Beechcraft 1900D,near Sept-Îles Airport,Canada,C-FLIH,Regionnair,1,15,A1,approach,probable,human_error,pilot error,
1999-08-22,Douglas MD-11,Chek Lap Kok International Airport,Hong Kong,B-150,China Airlines,3,19,A1,landing,suspected,human_error,pilot error,
1999-08-24,MD-90-30,Hualien Airport,Taiwan,B-17912,Uni Air,1,15,A1,landing,probable,human_error,passenger error,
1999-08-26,Yakovlev 40,near Turtkul Airport,Uzbekistan,UK-87848,Uzbekistan Airways,2,17,A1,landing,probable,human_error,pilot error,
1999-08-31,Boeing 737-204C,Buenos Aires-Jorge Newbery Airport,Argentina,LV-WRZ,Líneas Aéreas Privadas Argentinas,65,50,A1,takeoff,probable,human_error,pilot & crew error,
1999-09-05,British Aerospace BAe-748-501,near Kathmandu-Tribhuvan Airport,Nepal,9N-AEG,Necon Air,15,29,A1,approach,probable,human_error,pilot error,
"1999-10-31,Boeing 767-366ER,""near Nantucket Island, MA"",USA,SU-GAP,EgyptAir,217,84,A1,en_route,probable,human_error,crew error,"
1999-11-09,Douglas DC-9-31F,near Uruapan,Mexico,XA-TKN,TAESA Lineas Aéreas,18,31,A1,en_route,probable,human_error,pilot & crew error,
"1999-11-12,ATR-42-312,near Mitrovica,Serbia,F-OHFV,""SiFly, operating for UN"",24,34,A1,en_route,probable,human_error,pilot & crew error,"
1999-12-07,Let L-410UVP-E,Kasibu,Philippines,RP-C3883,Asian Spirit,17,31,A1,en_route,unknown,unknown,unknown,
1999-12-11,British Aerospace ATP,Sao Jorge Island,Portugal,CS-TGM,SATA Air Açores,35,40,A1,en_route,probable,weather,low visibility,
1999-12-21,Douglas DC-10-30,Guatemala City-La Aurora Airport,Guatemala,F-GTDI,Cubana de Aviación,18,31,A1,landing,probable,weather,wet runway,
1999-12-24,Airbus A300B2-101,Kandahar Airport,Afghanistan,VT-EDW,Indian Airlines,1,15,H2,en_route,confirmed,criminal,hostage situation,
1999-12-25,Yakovlev 42D,Bejuma,Venezuela,CU-T1285,Cubana de Aviación,22,33,A1,approach,probable,human_error,pilot error,
1999-12-25,DHC-6 Twin Otter 300,near Simra Airport,Nepal,9N-AFL,Skyline Airways,10,26,A1,en_route,unknown,unknown,unknown,
2000-01-05,Embraer 110P1A Bandeirante,Abuja International Airport,Nigeria,5N-AXL,Skypower Express,2,17,A1,approach,suspected,mechanical,engine failure,
2000-01-10,Saab 340B,near Nassenwil,Switzerland,HB-AKK,Crossair,10,26,A1,en_route,suspected,human_error,pilot error,
"2000-01-13,Shorts 360-300,near Marsa el-Brega,Libya,HB-AAM,""Avisto, operating for Sirte Oil Company"",22,33,A1,approach,unknown,unknown,,"
2000-01-15,Let L-410UVP-E,San José,Costa Rica,YS-09-C,TACSA,5,21,A1,en_route,suspected,human_error,pilot error,
2000-01-30,Airbus A310-304,near Abidjan-Felix Houphouet Boigny Airport,Kenya,5Y-BEN,Kenya Airways,169,75,A1,take off,confirmed,human_error,pilot error,
2000-01-31,MD-83,near Anacapa Island,USA,N963AS,Alaska Airlines,88,57,A1,en_route,confirmed,human_error,maintenance error,
2000-02-08,Embraer 110P2 Bandeirante,Maputo,Mozambique,C9-AUH,Sabin Air,1,15,A1,initial_climb,unknown,unknown,unknown,
2000-03-09,Yakovlev 40D,Moskva-Sheremetyevo Airport ,Russia,RA-88170,Vologoda Air,9,25,A1,initial_climb,confirmed,weather,bad weather,
2000-03-17,DHC-6 Twin Otter 300,near Carreto,Panama,HP-1267APP,AeroPerlas,10,26,A1,en_route,unknown,unknown,unknown,
2000-03-25,Antonov 32,Huambo Airport,Angola,D2-MAJ,Uralex,3,19,A1,takeoff,confirmed,mechanical,brake failure,
2000-04-19,Boeing 737-2H4,near Davao,Philippines,RP-C3010,Air Philippines,131,67,A1,approach,suspected,human_error,pilot error,
2000-05-17,Beechcraft 1900C-1,near Moanda Airport,Gabon,TR-LFK,Avirex,3,19,A1,approach,suspected,weather,bad weather,
2000-05-21,British Aerospace 3102 Jetstream,near Wilkes-Barre Airport,USA,N16EJ,East Coast Aviation Services,19,32,A1,approach,confirmed,human_error,pilot error,crew failed to take on enough fuel
2000-06-05,Fokker F-27 Friendship 600,Accra-Kotoka International Airport ,Ghana,G 524,Ghana Airlink,7,23,A1,landing,suspected,human_error,pilot error,
2000-06-22,Xian Yunshuji Y-7-100C,near Wuhan,China,B-3479,Wuhan Airlines,49,45,A1,approach,confirmed,weather,bad weather,
2000-07-08,British Aerospace 3201 Jetstream,near Chulum Juarez,Mexico,N912FJ,Aerocaribe,19,32,A1,en_route,confirmed,weather,bad weather,
2000-07-17,Boeing 737-2A8,near Patna Airport,India,VT-EGD,Alliance Air,60,49,A1,approach,confirmed,human_error,pilot error,
"2000-07-25,Aérospatiale / BAC Concorde 10,Gonesse,France,F-BTSC,Air France,113,63,A1,take off,confirmed,mechanical,mechanical failure,""tyre exploded after colliding with strip of metal left on the runway by a previous plane, triggering a chain reaction"""
2000-07-27,DHC-6 Twin Otter 300,Jarayakhali hill,Nepal,9N-ABP,Royal Nepal Airlines,25,35,A1,en_route,suspected,human_error,pilot error,
2000-08-12,Antonov 26B,near Tshikapa,Congo,,STAER Airlines,27,36,A1,unknown,unknown,unknown,unknown,
2000-08-23,Airbus A320-212,near Bahrain International Airport,Bahrain,A4O-EK,Gulf Air,143,70,A1,approach,confirmed,human_error,pilot error,
"2000-09-04,Beechcraft 200 Super King Air,""near Burketown, QLD"",Australia,VH-SKC,Central Air,8,24,A1,en_route,confirmed,mechanical,mechanical failure,passengers and crew suffocated due to lack of oxygen"
2000-09-27,Boeing 737,Jinan Airport,China,,China Xinhua Airlines,1,15,H2,en_route,confirmed,criminal,hijack,
2000-10-19,Harbin Yunshuji Y-12-II,near Sam Neua,Laos,RDPL-34130,Lao Aviation,8,24,A1,approach,probable,weather,bad weather,
2000-10-31,Boeing 747-412,Taipei-Chiang Kai Shek Airport,Taiwan,9V-SPK,Singapore Airlines,83,56,A1,take off,confirmed,human_error,crew errors,series of errors led the plane to take off on the wrong (closed) runway
"2000-11-07,Antonov 32B,Luabo Airport,Congo,ER-AFA,""Renan, operating for Malu Aviation"",2,17,A1,take off,confirmed,mechanical,mechnical failure,"
2000-11-15,Antonov 26,near Luanda-4 de Fevereiro Airport ,Angola,D2-FCG,ASA Pesada,57,48,A1,take off,probable,mechanical,mechnical failure,
2001-01-25,Douglas C-47A-65-DL (DC-3C),Ciudad Bolívar,Venezuela,YV-224C,Rutaca,24,34,A1,en_route,suspected,mechanical,engine failure,
2001-02-10,GAF Nomad N.24A,near Jacobcondre,Suriname,PZ-TBP,Gum Air,10,26,A1,ap,suspected,human_error,pilot error,
2001-03-17,Beechcraft 1900C-1,Quilemba,Angola,S9-CAE,SAL Express,16,30,A1,approach,suspected,weather,low visibility,
2001-03-24,de Havilland Canada DHC-6 Twin Otter 300,Saint-Barthélémy,Guadeloupe,F-OGES,Air Caraïbes,20,32,A1,approach,suspected,human_error,pilot error,
"2001-03-29,Gulfstream Aerospace G-1159 Gulfstream III,""near Aspen Airport, CO"",USA,N303GA,Avjet Corp,18,31,A1,approach,suspected,weather,bad weather,"
2001-05-17,Yakovlev 40,near Sari,Iran,EP-TQP,Faraz Qeshm,30,37,A1,en_route,suspected,weather,bad weather,
2001-07-04,Tupolev 154M,near Burdakovka,Russia,RA-85845,Vladivostokavia,145,70,A1,approach,probable,human_error,pilot error,
2001-08-23,Antonov 28,Mugogo,DR Congo,3C-LLA,Victoria Air,4,20,A1,en_route,suspected,human_error,overloaded,
2001-08-29,CASA CN-235-200,Malaga Airport,Spain,EC-FBC,Binter Méditerraneo,4,20,A1,approach,suspected,mechanical,mechanical failure,
"2001-09-11,Boeing 757-222,""near Shanksville, PA"",USA,N591UA,United Airlines,44,43,H1,en_route,confirmed,criminal,intentionally crashed,"
"2001-09-11,Boeing 757-223,""Washington, DC"",USA,N644AA,American Airlines,189,79,H1,en_route,confirmed,criminal,intentionally crashed,"
"2001-09-11,Boeing 767-222,""New York, NY"",USA,N612UA,United Airlines,965,165,H1,en_route,confirmed,criminal,intentionally crashed,"
"2001-09-11,Boeing 767-223ER,""New York, NY"",USA,N334AA,American Airlines,1692,216,H1,en_route,confirmed,criminal,intentionally crashed,"
2001-09-12,Let L-410UVP-E,near Chichén Itzá,Mexico,XA-ACM,Aero Ferinco,19,32,A1,initial_climb,suspected,mechanical,mechanical failure,
2001-09-15,Fokker 100,near Belo Horizon,Brazil,PT-MRN,TAM Brasil,1,15,A2,en_route,probable,mechanical,engine failure,
2001-09-18,Let L-410UVP-E,Guatemala City-La Aurora Airport,Guatemala,TG-CFE,Atlantic Airlines,8,24,A1,takeoff,suspected,human_error,pilot error,
"2001-10-04,Tupolev 154M,""off Adler, Russia"",Black Sea,RA-85693,Sibir Airlines,78,54,C1,en_route,confirmed,human_error,shot down,"
2001-10-08,McDonnell Douglas MD-87,Milano-Linate Airport,Italy,SE-DMA,Scandinavian Airlines System - SAS,114,63,A1,takeoff,suspected,human_error,pilot error,
"2001-11-12,Airbus A300B4-605R,""Belle Harbor, NY"",USA,N14053,American Airlines,265,91,A1,en_route,suspected,human_error,pilot error,"
2001-11-19,Ilyushin 18V,near Kalyazin,Russia,RA-75840,IRS Aero,27,36,A1,en_route,suspected,human_error,pilot error,
2001-11-24,Avro RJ.100,near Zürich-Kloten,Switzerland,HB-IXM,Crossair,24,34,A1,approach,probable,human_error,pilot error,
2001-12-16,Let L-410UVP-E,near San Antonio,Colombia,HK-4175X,Heliandes,16,30,A1,en_route,suspected,human_error,pilot error,
"2002-01-16,Boeing 737-3Q8,near Yokyakarta,Indonesia,PK-GWA,Garuda,1,15,A1,approach,probable,weather,bad weather,""landed in Bengawan Solo River. Some attempts to restart engines """"were contrary to the procedures contained in the Boeing 737 Operations Manual"""""""
2002-01-17,Fairchild FH-227E,Cerro El Tigre,Colombia,HC-AYM,Petroproduccion,26,35,A1,en_route,suspected,human_error,pilot & crew error,
"2002-01-28,Boeing 727-134,near Ipiales,Colombia,HC-BLF,TAME Ecuador,94,58,A1,approach,suspected,human_error,pilot error,""crew had necessary information, however """"The approach procedure called for a speed of 180 kts, but the actual speed was much higher at 230 knots"""""""
2002-02-12,Tupolev 154M,near Sarab-e Do Rah,Iran,EP-MBS,Iran Air Tours,119,65,A1,approach,suspected,weather,bad weather,crashed into Kuh-e Sefid Mountain at 9100 feet. approach was 'non-prescription' = an emergency landing??
2002-03-14,Antonov 2R,El Huerto,Cuba,CU-T1020,Aerotaxi,16,30,A1,en_route,confirmed,mechanical,wing loss,
2002-04-15,Boeing 767-2J6ER,near Pusan-Kimhae Airport ,South Korea,B-2552,Air China,129,67,A1,approach,confirmed,weather,bad weather,
2002-05-04,BAC One-Eleven 525FT,Kano,Nigeria,5N-ESF,EAS Airlines,149,71,A1,en_route,probable,mechanical,aircraft stalled,Aircraft had been grounded for 52 days due to engine problems. A new engine was fitted 10 hours before crash
2002-05-07,Boeing 737-566,near Tunis-Carthage Airport ,Tunisia,SU-GBI,EgyptAir,14,29,A1,approach,unknown,unknown,unknown,
"2002-05-07,MD-82,near Dalian,China,B-2138,China Northern,112,63,A1,approach,probable,criminal,fire in the cabin/ insurance fraud,""""""Authorities blamed the crash on a fire set by a passenger who bought seven insurance policies before boarding the flight, insuring his life for $170,000."""""""
2002-05-25,DHC-6 Twin Otter 300,near Nabire,Indonesia,PK-YPZ,Trigana Air Service,6,22,A1,en_route,confirmed,weather,bad weather,
2002-05-25,Boeing 747-209B,near Penghu Island,Pacific Ocean (Taiwan Straight),B-18255,China Airlines,225,85,A1,en_route,probable,mechanical,structural failure,
2002-07-01,Tupolev 154M,Überlingen,Germany,RA-85816,Bashkirskie Avialinii,69,52,A1,en_route,confirmed,human_error,atc error,
2002-07-17,DHC-6 Twin Otter 300,near Surkhet Airport,Nepal,9N-AGF,Skyline Airways,4,20,A1,en_route,confirmed,weather,bad weather,
2002-08-22,DHC-6 Twin Otter 300,near Pokhara,Nepal,9N-AFR,Shangri-La Air,18,31,A1,approach,confirmed,weather,bad weather,
2002-08-29,Antonov 28,near Ayan,Russia,RA-28932,Vostok Aviakompania,16,30,A1,approach,confirmed,weather,bad weather,
2002-08-30,Embraer 120ER Brasilia,Rio Branco-Pres. Medici Airport,Brazil,PT-WRQ,Rico Linhas Aéreas,23,34,A1,approach,suspected,weather,bad weather,
"2002-09-28,DHC-3 Otter,""near Natashquan, QC"",Canada,C-FLGA,Deraps Aviation,3,19,A1,approach,probable,human_error,pilot error,"
2002-10-25,Beechcraft A100 King Air,near Eveleth-Virginia Municipal Airport,USA,N41BE,Aviation Charter,8,24,A1,approach,probable,human_error,crew error,failed to maintain adequate air speed
2002-11-06,Fokker 50,near Niederanven,Luxembourg,LX-LGB,Luxair,20,32,A1,approach,suspected,human_error,crew error,
2002-11-11,Fokker F-27 Friendship 600,near Manila Ninoy Aquino International Airport,Philippines,RP-C6888,Laoag,19,32,A1,en_route,confirmed,mechanical,engine trouble,
2002-11-28,Let L-410UVP-E20,Mara Intrepids,Kenya,5Y-ONT,Eagle Aviation,1,15,A1,approach,probable,mechanical,engine trouble,
2002-12-23,Antonov 140,near Baghrabad,Iran,UR-14003,Aeromist Kharkiv,44,43,A1,en_route,confirmed,human_error,pilot error,pilot failed to use GPS
2002-12-27,Let L-410UVP,near Anjouan,Comoros,9XR-RB,Ocean Airlines,1,15,A1,approach,confirmed,weather,thunderstorm,
"2003-01-08,Beechcraft 1900D,Charlotte-Do...,USA,N233YV,""Air Midwest, operating for US Airways Express"",21,33,A1,takeoff,confirmed,human_error,airline error,"
2003-01-08,Avro RJ.100,Diyarbakir Airport,Turkey,TC-THG,Turkish Airlines,75,53,A1,approach,confirmed,weather,low visibility,
2003-01-09,Fokker F-28 Fellowship 1000,near Chachapoyas,Peru,OB-1396,TANS Perú,46,44,A1,approach,suspected,human_error,pilot & crew error,
2003-03-06,Boeing 737-2T4,Tamanrasset Airport ,Algeria,7T-VEZ,Air Algérie,102,60,A1,initial_climb,probable,mechanical,engine failure,
2003-03-27,DHC-6 Twin Otter 300,near Mulia,Indonesia,PK-WAY,Air Regional,4,20,A1,en_route,unknown,unknown,unknown,
2003-05-26,Yakovlev 42D,near Maçka,Turkey,UR-42352,Union de Transports Aériens,75,53,A1,approach,probable,human_error,crew error,
2003-06-22,Canadair CL-600-2B19 Regional,near Brest-Guipavas Airport,France,F-GRJS,Brit Air,1,15,A1,approach,confirmed,human_error,crew error,
2003-07-08,Boeing 737-2J8C,near Port Sudan,Sudan,ST-AFK,Sudan Airways,116,64,A1,approach,confirmed,mechanical,engine failure,
2003-07-13,Let L-410UVP-E,near San Cristobal,Venezuela,YV-1060CP,Ruiban and Duran,4,20,A1,en_route,unknown,unknown,unknown,
2003-07-19,Swearingen SA226-TC Metro II,Mount Kenya,Kenya,ZS-OYI,Ryan Blake Air Charter,14,29,A1,en_route,unknown,unknown,unknown,
2003-08-24,Let L-410UVP-E3,near Cap Haitien Airport,Haiti,HH-PRV,Tropical Airways,21,33,A1,en_route,probable,mechanical,mechanical failure,
2003-11-08,Shorts SC.7 Skyvan 3M-100,near Ogle,Guyana,8R-GMC,Trans Guyana Airways,2,17,A1,initial takeoff,confirmed,mechanical,engine failure,
"2003-12-16,DHC-3 Turbo Otter,""near Jellicoe, ON"",Canada,C-GOFF,Huron Air,2,17,A1,takeoff,probable,human_error,pilot error,"
2003-12-25,Boeing 727-223,Cotonou Airport,Benin,3X-GDO,Union de Transports Aériens,141,69,A1,takeoff,confirmed,human_error,overloaded,
2004-01-03,Boeing 737-3Q8,near Sharm el Sheikh,Egypt,SU-ZCF,Flash Airlines,148,71,A1,en_route,unknown,unknown,unknown,
2004-01-13,Yakovlev 40,Tashkent Airport,Uzbekistan,UK-87985,Uzbekistan Airways,37,40,A1,landing,probable,weather,bad weather,
2004-01-28,Beechcraft 1900D,near Ghardaia-Noumerate Airport ,Algeria,7T-VIN,Tassili Airlines,1,15,A1,approach,probable,human_error,atc error,
2004-02-10,Fokker 50,near Sharjah Airport,UAE,EP-LCA,Kish Air,43,43,A1,approach,unknown,unknown,unknown,
2004-05-11,Antonov 12BP,near Dalang,Sudan,ST-SIG,El Magal Aviation,1,15,A1,unknown,probable,weather,bad weather,
"2004-05-14,Embraer 120ER Brasilia,""near Manaus, AM"",Brazil,PT-WRO,Rico Linhas Aéreas,33,39,A1,approach,unknown,unknown,unknown,"
2004-06-08,Hawker Siddeley HS-748-232 Srs,near Libreville Airport,Gabon,TR-LFW,Gabon Express,19,32,A1,en_route,suspected,mechanical,mechanical failure,
2004-06-26,Lisunov Li-2T,near Moskva-Myachkovo Airport,Russia,RA-1300K,FLA RF,2,17,A1,en_route,probable,mechanical,engine failure,a dog was killed on the ground
"2004-08-24,Tupolev 134A-3,near Buchalki,Russia,RA-65080,Volga-Aviaexpress,44,43,C1,en_route,confirmed,criminal,""collision, suicide bombing"","
"2004-08-24,Tupolev 154B-2,near Gluboki,Russia,RA-85556,Sibir Airlines,46,44,C1,en_route,confirmed,criminal,""collision, suicide bombing"",suicide bomber bribed airline employee in charge of boardings to let her on the plane"
"2004-10-19,British Aerospace 3201 Jetstream,""near Kirksville Regional Airport, MO"",USA,N875JX,""Corporate Airlines, operating for AmericanConnection"",13,28,A1,approach,confirmed,human_error,pilot error,"
2004-11-18,British Aerospace 3101 Jetstream,Caracas-Simón Bolívar International Airport ,Venezuela,YV-1083C,Venezolana,4,20,A1,landing,confirmed,weather,low visibility,
2004-11-21,Canadair CL-600-2B19 Regional,near Baotou Airport,China,B-3072,China Yunnan,55,47,A1,initial_climb,confirmed,weather,icing,
"2004-11-28,Canadair CL-600-2A12 Challenger,Montrose Cou...,USA,N873G,""Hop-A-Jet Inc, operating for Global Aviation"",3,19,A1,takeoff,probable,human_error,crew error,"
"2004-11-30,MBB HFB-320 Hansa Jet,""Howell Island, MO"",USA,N604GA,Grand Aire Express,2,17,A1,en_route,probable,human_error,pilot & maintenance error,"
2004-11-30,MD-82,Solo City-Adi Sumarmo Airport,Indonesia,PK-LMN,Lion Air,25,35,A1,landing,suspected,weather,wet runway,
"2005-02-03,Boeing 737-242,near Kabul,Afghanistan,EX-037,""Phoenix Aviation, operating for Kam Air"",104,61,A1,en_route,suspected,weather,low visibility,The wreckage was found after two days. all crew and passengers killed"
2005-02-22,DHC-6 Twin Otter 300,near Wobegon,Papua New Guinea,P2-MFQ,MAF,2,17,A1,Approach,suspected,weather,low visibility,runway can only be used in one direction for landing and takeoff because it has a 10 degrees slope. Both pilots died in the accident. The survivors were able to walk to the village.
"2005-03-16,Antonov 24RV,near Varandey,Russia,RA-46489,""Kuzbassaviafrakht, operating for Regional Airlines"",28,36,A1,Approach,suspected,human_error,pilot & crew error,"
2005-03-26,Let L-410UVP-E,Providencia-El Embrujo Airport ,Colombia,HK-4146,West Caribbean Airways,9,25,A1,initial_climb,probable,mechanical,engine failure,
2005-04-12,DHC-6 Twin Otter 100,near Enarotali,Indonesia,PK-LTZ,GT Air,17,31,A1,en_route,unknown,unknown,unknown,Plane did not arrive at destination. The wreckage was found 5 days later.
2005-04-20,Boeing 707-3J9C,Tehran-Mehrabad Airport ,Iran,EP-SHE,Saha Air,3,19,A1,Landing,probable,mechanical,mechanical failure,Three passengers were killed after they fell in the river during the evacuation.
"2005-05-05,Antonov 26,near Kisangani,Congo (Democratic Republic),,""Aeroworld, operating for Kisangani Airlift"",10,26,A1,Approach,suspected,human_error,pilot error,The identity of the plane has not been confirmed"
"2005-05-07,Swearingen SA227-DC Metro 23,near Lockhart River Airport,Australia,VH-TFU,""Transair Australia, operating for Aero-Tropics"",15,29,A1,Approach,probable,human_error,pilot & crew error,plane flew into the side of a heavily timbered ridge in the Iron Range National Park. All killed. Crew was aware that copilot had no formal training and limited experience to act effectively during the type of landing planned"
2005-05-25,Antonov 12BP,near Biega,Congo (Democratic Republic),9Q-CVG,Victoria Air,27,36,A1,en_route,unknown,unknown,unknown,Crashed some 30 minutes after takeoff in a mountainous and wooded area.
"2005-06-02,Antonov 24B,Khartoum-Civil Airport ,Sudan,ST-WAL,""al-Majal Company, operating for Marsland Aviation"",7,23,A1,Takeoff,probable,mechanical,engine failure,"
2005-07-16,Antonov 24B,near Baney,Equatorial Guinea,3C-VQR,Equatorial Express Airlines,60,49,A1,en_route,unknown,unknown,unknown,There are conflicting reports regarding the number of persons on board. Aircraft was reportedly not undergoing the 1000-hour maintenance checks.
2005-08-06,ATR-72-202,near Palermo-Punta Raisi Airport,Italy,TS-LBB,Tuninter,16,30,A1,en_route,confirmed,human_error,maintenance & crew error,
2005-08-14,Boeing 737-31S,near Grammatikos,Greece,5B-DBY,Helios Airways,121,65,A1,en_route,probable,human_error,maintenance & crew error,captain and co-captain became unconscious from  lack of oxygen. Plane went into autopilot and continued to fly til running out of fuel. all on board were killed.
2005-08-16,MD-82,near Machiques,Venezuela,HK-4374X,West Caribbean Airways,160,73,A1,en_route,confirmed,human_error,emergency response error,
2005-08-23,Boeing 737-244,near Pucallpa Cap Fap David Abenzur Rengifo Airport,Peru,OB-1809-P,TANS Perú,40,42,A1,Approach,confirmed,human_error,pilot & crew error,It appeared that a copilot under instruction was in the right hand seat while the regular copilot was in the passenger cabin at the time of the accident.
"2005-09-05,Antonov 26B,near Isiro-Matari Airport ,Congo (Democratic Republic),ER-AZT,""Aerocom, operating for Galaxy Incorporation"",11,27,A1,approach,suspected,weather,low visibility,""In September 2004 the certificate of airworthiness of the plane expired, but continued operations in Congo."""
2005-09-05,Boeing 737-230,Medan-Polonia Airport ,Indonesia,PK-RIM,Mandala Airlines,149,71,A1,initial_climb,probable,human_error,pilot & crew error,plane failed to become airborne. overran the runway and caught fire. 49 people on the ground people were killed.
"2005-09-09,Antonov 26B,near Brazzaville,Congo (Democratic Republic),9Q-CFD,Air Kasai,13,28,A1,en_route,unknown,unknown,unknown,""""""There is some uncertainty with regards to the exact identity of this plane.'"""
"2005-10-22,Boeing 737-2L9,""Lisa Village, Ogun State"",Nigeria,5N-BFN,Bellview Airlines,117,64,A1,en_route,suspected,human_error,pilot error,""The AIB, after an extensive investigation, could not identify conclusive evidence to explain the cause of the accident"""
"2005-12-08,Boeing 737-7H4,Chicago Midway International Airport,USA,N471WN,Southwest Airlines,1,15,A2,landing,probable,human_error,pilot error,""The airplane departed the end of the runway, rolled through a blast fence, a perimeter fence, and onto a roadway. A six-year-old boy in one of the vehicles was killed."""
2005-12-10,DC-9-32,Port Harcourt Airport ,Nigeria,5N-BFD,Sosoliso Airlines,108,62,A1,landing,probable,human_error,pilot & crew error,The aircraft disintegrated and caught fire after crashing into an exposed concrete drainage culvert on runway. The cockpit section was found a further 330m from the rest of the wreckage. total wreckage distance was 1120m.
"2005-12-19,Grumman G-73T Turbo Mallard,""Miami, FL"",USA,N2969,Chalk's,20,32,A1,initial_climb,probable,human_error,maintenance & crew error,while in flight the the right wing separated from the fuselage"
2005-12-23,Antonov 140-100,near Nardaran,Azerbaijan,4K-AZ48,Azerbaijan Airlines,23,34,A1,en_route,suspected,mechanical,unknown,crew had difficulty judging their flight parameters while flying over the Caspian Sea at night.
"2006-03-31,Let L-410UVP-E20,""near Rio Bonito, RJ"",Brazil,PT-FSE,TEAM Linhas Aéreas,19,32,A1,en_route,probable,human_error,pilot & crew error,"
2006-04-16,Fokker F-27 Friendship 400M,Guayaramerín Airport,Bolivia,FAB-91,TAM – Transporte Aéreo Militar,1,15,A1,landing,suspected,weather,bad weather,An 80-year old woman died of a heart attack a few hours after the accident.
"2006-04-24,Antonov 32B,Lashkar Gah,Afghanistan,ZS-PDV,""Valan International Cargo Charter, operating for US Department of State"",5,21,A1,landing,suspected,human_error,unknown,It was carrying a team from the US Bureau of International Narcotics and Law Enforcement Affairs"
2006-05-03,Airbus A320-211,near Adler/Sochi Airport,Russia,EK32009,Armavia,113,63,A1,Approach (APR),confirmed,human_error,pilot error,pilot was in a 'a psychoemotional stress condition'
2006-06-21,DHC-6 Twin Otter 300,near Jumla Airport,Nepal,9N-AEQ,Yeti Airlines,9,25,A1,approach,probable,human_error,pilot & crew error,
"2006-07-09,Airbus A310-324,Irkutsk Airport,Russia,F-OGYP,Sibir Airlines,125,66,A1,landing,confirmed,human_error,pilot & crew error,""The airplane went off the runway at the high speed of ~180 km/h, hit the concrete fence and buildings, crashed and caught fire."""
2006-07-10,Fokker F-27 Friendship 200,near Multan Airport,Pakistan,AP-BAL,Pakistan International Airlines,45,44,A1,initial_climb,confirmed,human_error,maintenance & crew error,
2006-08-03,Antonov 28,near Bukavu,Congo (Democratic Republic),9Q-COM,TRACEP-Congo Aviation,17,31,A1,en_route,unknown,unknown,unknown,in 2006 the Antonov Aviation Scientific Technical Complex informed the State Administration of Ukraine for Aviation Safety Oversight that the plane was not considered to be airworthy.
2006-08-22,Tupolev 154M,near Donetsk,Russia,RA-85185,Pulkovo,170,75,A1,en_route,confirmed,human_error,pilot error,
"2006-08-27,Canadair CL-600-2B19 Regional,""Lexington-Blue Grass Airport, KY"",USA,N431CA,""Comair, operating for Delta Connection"",49,45,A1,takeoff,confirmed,human_error,pilot & crew error,"
2006-09-01,Tupolev 154M,Mashad Airport,Iran,EP-MCF,Iran Air Tours,28,36,A1,landing,unknown,unknown,unknown,
"2006-09-29,Boeing 737-8EH,""near Peixoto Azevedo, MT"",Brazil,PR-GTD,Gol,154,72,A1,en_route,probable,human_error,atc error,air traffic controllers directed two planes flying in opposite directions to fly at the same altitude resulting in a mid air collision"
2006-10-10,British Aerospace BAe-146-200A,Stord-Sørstokken Airport ,Norway,OY-CRG,Atlantic Airways,4,20,A1,landing,probable,mechanical,mechanical failure,
2006-10-29,Boeing 737-2B7,Abuja International Airport,Nigeria,5N-BFK,ADC Airlines,96,59,A1,initial_climb,confirmed,human_error,pilot error,
